SerialNumber,EpochTime,Latitude,Longitude,APName,RSSI,Frequency,
1,1601188798826,26.52718059,128.0283357,AP002,-68, 2447,
1,1601188798826,26.52718059,128.0283357,AP004,-83, 2412,
2,1601188799816,26.52720433,128.02833172,AP002,-68, 2447,
2,1601188799816,26.52720433,128.02833172,AP004,-83, 2412,
3,1601188800839,26.52718937,128.02832244,AP002,-58, 2447,
3,1601188800839,26.52718937,128.02832244,AP001,-63, 2462,
3,1601188800839,26.52718937,128.02832244,AP003,-82, 2432,
3,1601188800839,26.52718937,128.02832244,AP004,-83, 2412,
3,1601188800839,26.52718937,128.02832244,AP005,-83, 2427,
4,1601188801842,26.52718365,128.02832146,AP002,-58, 2447,
4,1601188801842,26.52718365,128.02832146,AP001,-63, 2462,
4,1601188801842,26.52718365,128.02832146,AP003,-82, 2432,
4,1601188801842,26.52718365,128.02832146,AP004,-83, 2412,
4,1601188801842,26.52718365,128.02832146,AP005,-83, 2427,
5,1601188802842,26.52717161,128.0283236,AP002,-58, 2447,
5,1601188802842,26.52717161,128.0283236,AP001,-63, 2462,
5,1601188802842,26.52717161,128.0283236,AP003,-82, 2432,
5,1601188802842,26.52717161,128.0283236,AP004,-83, 2412,
5,1601188802842,26.52717161,128.0283236,AP005,-83, 2427,
6,1601188803853,26.52716951,128.02832427,AP002,-60, 2447,
6,1601188803853,26.52716951,128.02832427,AP001,-60, 2462,
6,1601188803853,26.52716951,128.02832427,AP004,-80, 2412,
6,1601188803853,26.52716951,128.02832427,AP005,-84, 2427,
7,1601188804836,26.52716368,128.0283219,AP002,-60, 2447,
7,1601188804836,26.52716368,128.0283219,AP001,-60, 2462,
7,1601188804836,26.52716368,128.0283219,AP004,-80, 2412,
7,1601188804836,26.52716368,128.0283219,AP005,-84, 2427,
8,1601188805843,26.5271601,128.02832306,AP002,-59, 2447,
8,1601188805843,26.5271601,128.02832306,AP001,-60, 2462,
8,1601188805843,26.5271601,128.02832306,AP004,-79, 2412,
8,1601188805843,26.5271601,128.02832306,AP003,-82, 2432,
9,1601188806823,26.52715635,128.02832378,AP002,-59, 2447,
9,1601188806823,26.52715635,128.02832378,AP001,-60, 2462,
9,1601188806823,26.52715635,128.02832378,AP004,-79, 2412,
9,1601188806823,26.52715635,128.02832378,AP003,-82, 2432,
10,1601188807843,26.52715288,128.02832403,AP002,-56, 2447,
10,1601188807843,26.52715288,128.02832403,AP001,-60, 2462,
10,1601188807843,26.52715288,128.02832403,AP004,-79, 2412,
10,1601188807843,26.52715288,128.02832403,AP005,-85, 2427,
11,1601188808847,26.52715097,128.02832358,AP002,-56, 2447,
11,1601188808847,26.52715097,128.02832358,AP001,-60, 2462,
11,1601188808847,26.52715097,128.02832358,AP004,-79, 2412,
11,1601188808847,26.52715097,128.02832358,AP005,-85, 2427,
12,1601188809857,26.52714642,128.02832328,AP002,-61, 2447,
12,1601188809857,26.52714642,128.02832328,AP001,-65, 2462,
12,1601188809857,26.52714642,128.02832328,AP003,-84, 2432,
13,1601188810859,26.52714262,128.02832289,AP002,-61, 2447,
13,1601188810859,26.52714262,128.02832289,AP001,-65, 2462,
13,1601188810859,26.52714262,128.02832289,AP003,-84, 2432,
14,1601188811853,26.52713926,128.02832278,AP002,-59, 2447,
14,1601188811853,26.52713926,128.02832278,AP001,-61, 2462,
14,1601188811853,26.52713926,128.02832278,AP004,-79, 2412,
14,1601188811853,26.52713926,128.02832278,AP005,-83, 2427,
15,1601188812843,26.52713598,128.02832254,AP002,-59, 2447,
15,1601188812843,26.52713598,128.02832254,AP001,-61, 2462,
15,1601188812843,26.52713598,128.02832254,AP004,-79, 2412,
15,1601188812843,26.52713598,128.02832254,AP005,-83, 2427,
16,1601188813841,26.52713254,128.02832233,AP002,-54, 2447,
16,1601188813841,26.52713254,128.02832233,AP001,-62, 2462,
16,1601188813841,26.52713254,128.02832233,AP004,-79, 2412,
16,1601188813841,26.52713254,128.02832233,AP005,-90, 2427,
17,1601188814849,26.52712806,128.02832193,AP002,-54, 2447,
17,1601188814849,26.52712806,128.02832193,AP001,-62, 2462,
17,1601188814849,26.52712806,128.02832193,AP004,-79, 2412,
17,1601188814849,26.52712806,128.02832193,AP005,-90, 2427,
18,1601188815841,26.52712383,128.02832281,AP002,-56, 2447,
18,1601188815841,26.52712383,128.02832281,AP001,-62, 2462,
18,1601188815841,26.52712383,128.02832281,AP004,-81, 2412,
18,1601188815841,26.52712383,128.02832281,AP003,-82, 2432,
19,1601188816852,26.5271199,128.02832326,AP002,-56, 2447,
19,1601188816852,26.5271199,128.02832326,AP001,-62, 2462,
19,1601188816852,26.5271199,128.02832326,AP004,-81, 2412,
19,1601188816852,26.5271199,128.02832326,AP003,-82, 2432,
20,1601188817870,26.52711707,128.02832269,AP002,-59, 2447,
20,1601188817870,26.52711707,128.02832269,AP001,-65, 2462,
20,1601188817870,26.52711707,128.02832269,AP004,-80, 2412,
21,1601188818843,26.52711448,128.02832336,AP002,-59, 2447,
21,1601188818843,26.52711448,128.02832336,AP001,-65, 2462,
21,1601188818843,26.52711448,128.02832336,AP004,-80, 2412,
22,1601188819861,26.52711225,128.02832435,AP002,-58, 2447,
22,1601188819861,26.52711225,128.02832435,AP001,-65, 2462,
22,1601188819861,26.52711225,128.02832435,AP004,-73, 2412,
23,1601188820842,26.52711388,128.02832836,AP002,-58, 2447,
23,1601188820842,26.52711388,128.02832836,AP001,-65, 2462,
23,1601188820842,26.52711388,128.02832836,AP004,-73, 2412,
24,1601188821851,26.52711016,128.02832623,AP002,-59, 2447,
24,1601188821851,26.52711016,128.02832623,AP001,-68, 2462,
24,1601188821851,26.52711016,128.02832623,AP004,-74, 2412,
24,1601188821851,26.52711016,128.02832623,AP003,-79, 2432,
25,1601188822858,26.52710677,128.02832554,AP002,-59, 2447,
25,1601188822858,26.52710677,128.02832554,AP001,-68, 2462,
25,1601188822858,26.52710677,128.02832554,AP004,-74, 2412,
25,1601188822858,26.52710677,128.02832554,AP003,-79, 2432,
26,1601188823843,26.52710413,128.0283242,AP002,-58, 2447,
26,1601188823843,26.52710413,128.0283242,AP001,-67, 2462,
26,1601188823843,26.52710413,128.0283242,AP004,-79, 2412,
26,1601188823843,26.52710413,128.0283242,AP003,-80, 2432,
26,1601188823843,26.52710413,128.0283242,AP005,-90, 2427,
27,1601188824854,26.52709986,128.02832179,AP002,-58, 2447,
27,1601188824854,26.52709986,128.02832179,AP001,-67, 2462,
27,1601188824854,26.52709986,128.02832179,AP004,-79, 2412,
27,1601188824854,26.52709986,128.02832179,AP003,-80, 2432,
27,1601188824854,26.52709986,128.02832179,AP005,-90, 2427,
28,1601188825845,26.52709728,128.0283199,AP002,-57, 2447,
28,1601188825845,26.52709728,128.0283199,AP001,-68, 2462,
28,1601188825845,26.52709728,128.0283199,AP004,-80, 2412,
29,1601188826854,26.52709259,128.02831802,AP002,-57, 2447,
29,1601188826854,26.52709259,128.02831802,AP001,-68, 2462,
29,1601188826854,26.52709259,128.02831802,AP004,-80, 2412,
30,1601188827834,26.52708927,128.02831762,AP002,-58, 2447,
30,1601188827834,26.52708927,128.02831762,AP001,-67, 2462,
30,1601188827834,26.52708927,128.02831762,AP004,-81, 2412,
30,1601188827834,26.52708927,128.02831762,AP003,-82, 2432,
31,1601188828846,26.52708596,128.02831734,AP002,-58, 2447,
31,1601188828846,26.52708596,128.02831734,AP001,-67, 2462,
31,1601188828846,26.52708596,128.02831734,AP004,-81, 2412,
31,1601188828846,26.52708596,128.02831734,AP003,-82, 2432,
32,1601188829853,26.52708247,128.02831686,AP002,-57, 2447,
32,1601188829853,26.52708247,128.02831686,AP001,-67, 2462,
32,1601188829853,26.52708247,128.02831686,AP003,-79, 2432,
32,1601188829853,26.52708247,128.02831686,AP004,-83, 2412,
33,1601188830859,26.52707808,128.02831807,AP002,-57, 2447,
33,1601188830859,26.52707808,128.02831807,AP001,-67, 2462,
33,1601188830859,26.52707808,128.02831807,AP003,-79, 2432,
33,1601188830859,26.52707808,128.02831807,AP004,-83, 2412,
34,1601188831845,26.52707391,128.02831855,AP002,-59, 2447,
34,1601188831845,26.52707391,128.02831855,AP001,-70, 2462,
34,1601188831845,26.52707391,128.02831855,AP003,-74, 2432,
35,1601188832865,26.52707021,128.02831882,AP002,-59, 2447,
35,1601188832865,26.52707021,128.02831882,AP001,-70, 2462,
35,1601188832865,26.52707021,128.02831882,AP003,-74, 2432,
36,1601188833841,26.52706618,128.02831856,AP002,-60, 2447,
36,1601188833841,26.52706618,128.02831856,AP001,-73, 2462,
36,1601188833841,26.52706618,128.02831856,AP004,-75, 2412,
36,1601188833841,26.52706618,128.02831856,AP003,-79, 2432,
36,1601188833841,26.52706618,128.02831856,AP005,-85, 2427,
37,1601188834860,26.52706126,128.02831699,AP002,-60, 2447,
37,1601188834860,26.52706126,128.02831699,AP001,-73, 2462,
37,1601188834860,26.52706126,128.02831699,AP004,-75, 2412,
37,1601188834860,26.52706126,128.02831699,AP003,-79, 2432,
37,1601188834860,26.52706126,128.02831699,AP005,-85, 2427,
38,1601188835835,26.52705856,128.02831595,AP002,-69, 2447,
38,1601188835835,26.52705856,128.02831595,AP001,-78, 2462,
38,1601188835835,26.52705856,128.02831595,AP003,-79, 2432,
38,1601188835835,26.52705856,128.02831595,AP004,-80, 2412,
39,1601188836839,26.52705375,128.0283154,AP002,-69, 2447,
39,1601188836839,26.52705375,128.0283154,AP001,-78, 2462,
39,1601188836839,26.52705375,128.0283154,AP003,-79, 2432,
39,1601188836839,26.52705375,128.0283154,AP004,-80, 2412,
40,1601188837845,26.52704912,128.02831444,AP002,-69, 2447,
40,1601188837845,26.52704912,128.02831444,AP001,-70, 2462,
40,1601188837845,26.52704912,128.02831444,AP003,-81, 2432,
41,1601188838851,26.52704418,128.02831383,AP002,-69, 2447,
41,1601188838851,26.52704418,128.02831383,AP001,-70, 2462,
41,1601188838851,26.52704418,128.02831383,AP003,-81, 2432,
42,1601188839844,26.52704037,128.02831278,AP001,-68, 2462,
42,1601188839844,26.52704037,128.02831278,AP002,-76, 2447,
42,1601188839844,26.52704037,128.02831278,AP003,-82, 2432,
43,1601188840840,26.52703689,128.02831391,AP001,-68, 2462,
43,1601188840840,26.52703689,128.02831391,AP002,-76, 2447,
43,1601188840840,26.52703689,128.02831391,AP003,-82, 2432,
44,1601188841849,26.52703351,128.02831487,AP001,-67, 2462,
44,1601188841849,26.52703351,128.02831487,AP002,-76, 2447,
44,1601188841849,26.52703351,128.02831487,AP003,-80, 2432,
44,1601188841849,26.52703351,128.02831487,AP004,-84, 2412,
45,1601188842848,26.52703048,128.02831432,AP001,-67, 2462,
45,1601188842848,26.52703048,128.02831432,AP002,-76, 2447,
45,1601188842848,26.52703048,128.02831432,AP003,-80, 2432,
45,1601188842848,26.52703048,128.02831432,AP004,-84, 2412,
46,1601188843842,26.52702571,128.02831299,AP001,-66, 2462,
46,1601188843842,26.52702571,128.02831299,AP002,-74, 2447,
46,1601188843842,26.52702571,128.02831299,AP004,-80, 2412,
46,1601188843842,26.52702571,128.02831299,AP003,-81, 2432,
47,1601188844849,26.52702207,128.02831215,AP001,-66, 2462,
47,1601188844849,26.52702207,128.02831215,AP002,-74, 2447,
47,1601188844849,26.52702207,128.02831215,AP004,-80, 2412,
47,1601188844849,26.52702207,128.02831215,AP003,-81, 2432,
48,1601188845860,26.52701679,128.02831288,AP001,-70, 2462,
48,1601188845860,26.52701679,128.02831288,AP002,-73, 2447,
48,1601188845860,26.52701679,128.02831288,AP004,-79, 2412,
49,1601188846852,26.5270125,128.02831375,AP001,-70, 2462,
49,1601188846852,26.5270125,128.02831375,AP002,-73, 2447,
49,1601188846852,26.5270125,128.02831375,AP004,-79, 2412,
50,1601188847846,26.52700735,128.02831356,AP001,-71, 2462,
50,1601188847846,26.52700735,128.02831356,AP002,-75, 2447,
50,1601188847846,26.52700735,128.02831356,AP004,-75, 2412,
51,1601188848845,26.52700326,128.02831349,AP001,-71, 2462,
51,1601188848845,26.52700326,128.02831349,AP002,-75, 2447,
51,1601188848845,26.52700326,128.02831349,AP004,-75, 2412,
52,1601188849844,26.52699797,128.02831184,AP001,-71, 2462,
52,1601188849844,26.52699797,128.02831184,AP004,-75, 2412,
52,1601188849844,26.52699797,128.02831184,AP002,-79, 2447,
52,1601188849844,26.52699797,128.02831184,AP003,-79, 2432,
53,1601188850932,26.52699661,128.02831127,AP001,-71, 2462,
53,1601188850932,26.52699661,128.02831127,AP004,-75, 2412,
53,1601188850932,26.52699661,128.02831127,AP002,-79, 2447,
53,1601188850932,26.52699661,128.02831127,AP003,-79, 2432,
54,1601188851824,26.52699341,128.02830907,AP001,-70, 2462,
54,1601188851824,26.52699341,128.02830907,AP002,-74, 2447,
54,1601188851824,26.52699341,128.02830907,AP004,-82, 2412,
55,1601188852842,26.52699288,128.02830837,AP001,-70, 2462,
55,1601188852842,26.52699288,128.02830837,AP002,-74, 2447,
55,1601188852842,26.52699288,128.02830837,AP004,-82, 2412,
56,1601188853840,26.52698833,128.02830718,AP001,-64, 2462,
56,1601188853840,26.52698833,128.02830718,AP003,-82, 2432,
56,1601188853840,26.52698833,128.02830718,AP004,-84, 2412,
57,1601188854851,26.52698481,128.0283075,AP001,-64, 2462,
57,1601188854851,26.52698481,128.0283075,AP003,-82, 2432,
57,1601188854851,26.52698481,128.0283075,AP004,-84, 2412,
58,1601188855833,26.5269776,128.02830722,AP001,-64, 2462,
58,1601188855833,26.5269776,128.02830722,AP002,-78, 2447,
58,1601188855833,26.5269776,128.02830722,AP004,-81, 2412,
58,1601188855833,26.5269776,128.02830722,AP003,-81, 2432,
59,1601188856848,26.52697545,128.02830768,AP001,-64, 2462,
59,1601188856848,26.52697545,128.02830768,AP002,-78, 2447,
59,1601188856848,26.52697545,128.02830768,AP004,-81, 2412,
59,1601188856848,26.52697545,128.02830768,AP003,-81, 2432,
60,1601188857852,26.52697002,128.02830735,AP001,-66, 2462,
60,1601188857852,26.52697002,128.02830735,AP002,-73, 2447,
60,1601188857852,26.52697002,128.02830735,AP004,-85, 2412,
61,1601188858852,26.52696743,128.0283072,AP001,-66, 2462,
61,1601188858852,26.52696743,128.0283072,AP002,-73, 2447,
61,1601188858852,26.52696743,128.0283072,AP004,-85, 2412,
62,1601188859853,26.52696267,128.02830586,AP001,-67, 2462,
62,1601188859853,26.52696267,128.02830586,AP002,-73, 2447,
63,1601188860849,26.5269587,128.0283041,AP001,-67, 2462,
63,1601188860849,26.5269587,128.0283041,AP002,-73, 2447,
64,1601188861844,26.52695369,128.02830337,AP001,-65, 2462,
64,1601188861844,26.52695369,128.02830337,AP002,-79, 2447,
65,1601188862844,26.52695008,128.0283027,AP001,-65, 2462,
65,1601188862844,26.52695008,128.0283027,AP002,-79, 2447,
66,1601188863841,26.52694625,128.02830112,AP001,-66, 2462,
66,1601188863841,26.52694625,128.02830112,AP002,-74, 2447,
66,1601188863841,26.52694625,128.02830112,AP003,-80, 2432,
66,1601188863841,26.52694625,128.02830112,AP004,-82, 2412,
67,1601188864853,26.52694717,128.02829952,AP001,-66, 2462,
67,1601188864853,26.52694717,128.02829952,AP002,-74, 2447,
67,1601188864853,26.52694717,128.02829952,AP003,-80, 2432,
67,1601188864853,26.52694717,128.02829952,AP004,-82, 2412,
68,1601188865836,26.52694533,128.02829671,AP001,-66, 2462,
68,1601188865836,26.52694533,128.02829671,AP003,-78, 2432,
68,1601188865836,26.52694533,128.02829671,AP002,-79, 2447,
68,1601188865836,26.52694533,128.02829671,AP004,-80, 2412,
69,1601188866846,26.52694488,128.02829512,AP001,-66, 2462,
69,1601188866846,26.52694488,128.02829512,AP003,-78, 2432,
69,1601188866846,26.52694488,128.02829512,AP002,-79, 2447,
69,1601188866846,26.52694488,128.02829512,AP004,-80, 2412,
70,1601188867836,26.52693904,128.02829366,AP001,-64, 2462,
70,1601188867836,26.52693904,128.02829366,AP004,-74, 2412,
